Electoral District Number / No de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	 Candidate's Initial(s) / Initiale(s) du candidat	 Candidate's Campaign Office Telephone Number / Numéro de téléphone du bureau de campagne du candidat	Date of Receipt of Notification of Confirmation / Date de réception de l'avis de confirmation	Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
24004	Argenteuil--Papineau--Mirabel	Argenteuil--Papineau--Mirabel	New Democratic Party	Nouveau Parti démocratique	Freeman	Mylène		(514) 590-0036	05-Apr-2011	11:50:00
24004	Argenteuil--Papineau--Mirabel	Argenteuil--Papineau--Mirabel	Independent	Indépendant	Guibord	Michel Daniel		(450) 435-3284	09-Apr-2011	05:30:00
24004	Argenteuil--Papineau--Mirabel	Argenteuil--Papineau--Mirabel	Bloc Québécois	Bloc Québécois	Laframboise	Mario			30-Mar-2011	09:00:00
24004	Argenteuil--Papineau--Mirabel	Argenteuil--Papineau--Mirabel	Green Party of Canada	Le Parti Vert du Canada	Matthews	Stephen			05-Apr-2011	05:00:00
24004	Argenteuil--Papineau--Mirabel	Argenteuil--Papineau--Mirabel	Conservative Party of Canada	Parti conservateur du Canada	Patry	Yvan		(450) 420-8406	05-Apr-2011	11:50:00
24005	Beauce	Beauce	New Democratic Party	Nouveau Parti démocratique	Bergeron	Serge		(418) 588-9985	07-Apr-2011	09:00:00
24005	Beauce	Beauce	Conservative Party of Canada	Parti conservateur du Canada	Bernier	Maxime			04-Apr-2011	12:00:00
24005	Beauce	Beauce	Green Party of Canada	Le Parti Vert du Canada	Doyon Lessard	Etienne		(418) 832-9337	08-Apr-2011	11:40:00
24005	Beauce	Beauce	Liberal Party of Canada	Parti libéral du Canada	Morin	Claude		(418) 227-5592	04-Apr-2011	09:45:00
24005	Beauce	Beauce	Bloc Québécois	Bloc Québécois	Morin	Sylvio			05-Apr-2011	11:00:00
24006	Beauharnois--Salaberry	Beauharnois--Salaberry	Conservative Party of Canada	Parti conservateur du Canada	Couturier	David			06-Apr-2011	04:05:00
24006	Beauharnois--Salaberry	Beauharnois--Salaberry	Bloc Québécois	Bloc Québécois	DeBellefeuille	Claude		(514) 462-3983	31-Mar-2011	03:30:00
24006	Beauharnois--Salaberry	Beauharnois--Salaberry	Liberal Party of Canada	Parti libéral du Canada	Deslandres	François		(514) 677-2443	06-Apr-2011	02:52:00
24006	Beauharnois--Salaberry	Beauharnois--Salaberry	Green Party of Canada	Le Parti Vert du Canada	Pelletier	Rémi			08-Apr-2011	08:26:00
24006	Beauharnois--Salaberry	Beauharnois--Salaberry	New Democratic Party	Nouveau Parti démocratique	Quach	Anne Minh-Thu			06-Apr-2011	05:00:00
24007	Beauport--Limoilou	Beauport--Limoilou	Conservative Party of Canada	Parti conservateur du Canada	Boucher	Sylvie		(418) 661-2444	02-Apr-2011	03:25:00
24007	Beauport--Limoilou	Beauport--Limoilou	Liberal Party of Canada	Parti libéral du Canada	Chartier	Lorraine		(418) 614-4266	03-Apr-2011	03:45:00
24007	Beauport--Limoilou	Beauport--Limoilou	New Democratic Party	Nouveau Parti démocratique	Côté	Raymond		(581) 999-2574	03-Apr-2011	04:00:00
24007	Beauport--Limoilou	Beauport--Limoilou	Green Party of Canada	Le Parti Vert du Canada	Courville	Louise		(418) 956-7380	10-Apr-2011	03:17:00
