Electoral District Number / No de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	 Candidate's Initial(s) / Initiale(s) du candidat	 Candidate's Campaign Office Telephone Number / Numéro de téléphone du bureau de campagne du candidat	Date of Receipt of Notification of Confirmation / Date de réception de l'avis de confirmation	Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
10003	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	New Democratic Party	Nouveau Parti démocratique	Kennedy	Mark			17-Sep-2008	07:30:00
10003	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	Conservative Party of Canada	Parti conservateur du Canada	Robinson	Lorne		1 877 567-6208	19-Sep-2008	04:39:00
10004	Labrador	Labrador	New Democratic Party	Nouveau Parti démocratique	Artiss	Phyllis		(709) 753-2270	20-Sep-2008	11:15:00
10004	Labrador	Labrador	Conservative Party of Canada	Parti conservateur du Canada	Lewis	Lacey		(709) 282-4133	19-Sep-2008	05:15:00
10004	Labrador	Labrador	Green Party of Canada	Le Parti Vert du Canada	McLeod	Nyssa Christine		(613) 864-4205	22-Sep-2008	09:45:00
10004	Labrador	Labrador	Liberal Party of Canada	Parti libéral du Canada	Russell	Todd		(709) 896-9574	13-Sep-2008	05:30:00
10005	Random--Burin--St. George's	Random--Burin--St. George's	Conservative Party of Canada	Parti conservateur du Canada	Davis	Herb		(709) 643-3168	12-Sep-2008	04:07:00
10005	Random--Burin--St. George's	Random--Burin--St. George's	Liberal Party of Canada	Parti libéral du Canada	Foote	Judy		(709) 832-2111	15-Sep-2008	12:16:00
10005	Random--Burin--St. George's	Random--Burin--St. George's	Green Party of Canada	Le Parti Vert du Canada	Wainwright	Kaitlin		(613) 276-0234	22-Sep-2008	12:50:00
10005	Random--Burin--St. George's	Random--Burin--St. George's	New Democratic Party	Nouveau Parti démocratique	White	Terry		(709) 643-4122	17-Sep-2008	01:15:00
10006	St. John's East	St. John's-Est	Newfoundland and Labrador First Party	Newfoundland and Labrador First Party	Coultas	Les		(709) 739-6821	23-Sep-2008	09:10:00
10006	St. John's East	St. John's-Est	New Democratic Party	Nouveau Parti démocratique	Harris	Jack		(709) 738-7912	16-Sep-2008	12:45:00
10006	St. John's East	St. John's-Est	Liberal Party of Canada	Parti libéral du Canada	Noel	Walter		(709) 738-3050	17-Sep-2008	12:22:00
10006	St. John's East	St. John's-Est	Green Party of Canada	Le Parti Vert du Canada	Story	Howard		(709) 753-0735	22-Sep-2008	09:25:00
10006	St. John's East	St. John's-Est	Progressive Canadian Party	Parti Progressiste Canadien	Tobin	Shannon John			17-Sep-2008	04:45:00
10006	St. John's East	St. John's-Est	Conservative Party of Canada	Parti conservateur du Canada	Westcott	Craig		(709) 576-3605	18-Sep-2008	11:16:00
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	Independent	Indépendant	Butler	Terry Christopher		(709) 765-1155	22-Sep-2008	08:56:00
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	Newfoundland and Labrador First Party	Newfoundland and Labrador First Party	Byrne	Greg		(250) 681-0644	22-Sep-2008	04:35:00
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	New Democratic Party	Nouveau Parti démocratique	Cleary	Ryan		(709) 738-8244	16-Sep-2008	04:12:00
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	Liberal Party of Canada	Parti libéral du Canada	Coady	Siobhan		(709) 368-3709	16-Sep-2008	06:57:00
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	Green Party of Canada	Le Parti Vert du Canada	Warren	Ted		(709) 754-8799	22-Sep-2008	12:50:00
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	Conservative Party of Canada	Parti conservateur du Canada	Wiseman	Merv		(709) 368-7023	19-Sep-2008	04:50:00
11001	Cardigan	Cardigan	New Democratic Party	Nouveau Parti démocratique	Avery	Mike		(902) 651-2180	19-Sep-2008	08:45:00
11001	Cardigan	Cardigan	Green Party of Canada	Le Parti Vert du Canada	Daughton	Emma		(613) 453-7721	22-Sep-2008	05:10:00
11001	Cardigan	Cardigan	Liberal Party of Canada	Parti libéral du Canada	MacAulay	Lawrence		(902) 361-5505	18-Sep-2008	03:30:00
11001	Cardigan	Cardigan	Independent	Indépendant	McGuire	Larry		(902) 961-2223	19-Sep-2008	06:16:00
11001	Cardigan	Cardigan	Conservative Party of Canada	Parti conservateur du Canada	McMullin	Sid		(902) 838-7097	17-Sep-2008	10:30:00
11002	Charlottetown	Charlottetown	Green Party of Canada	Le Parti Vert du Canada	Bisaillon	Laura M.		(902) 626-7399	23-Sep-2008	09:45:00
11002	Charlottetown	Charlottetown	Conservative Party of Canada	Parti conservateur du Canada	DeBlois	Tom		(902) 894-8663	12-Sep-2008	05:15:00
11002	Charlottetown	Charlottetown	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Judson	Baird		(902) 566-5587	18-Sep-2008	07:30:00
11002	Charlottetown	Charlottetown	Liberal Party of Canada	Parti libéral du Canada	Murphy	Shawn		(902) 367-4300	16-Sep-2008	11:45:00
11002	Charlottetown	Charlottetown	New Democratic Party	Nouveau Parti démocratique	Pollard	Brian			19-Sep-2008	11:45:00
11003	Egmont	Egmont	New Democratic Party	Nouveau Parti démocratique	Lewis	Orville		(902) 859-3710	17-Sep-2008	04:30:00
11003	Egmont	Egmont	Liberal Party of Canada	Parti libéral du Canada	Milligan	Keith		(902) 724-3300	18-Sep-2008	02:15:00
11003	Egmont	Egmont	Green Party of Canada	Le Parti Vert du Canada	Ridlington	Rebecca			19-Sep-2008	07:15:00
11003	Egmont	Egmont	Conservative Party of Canada	Parti conservateur du Canada	Shea	Gail		(902) 859-4370	17-Sep-2008	02:17:00
11004	Malpeque	Malpeque	Green Party of Canada	Le Parti Vert du Canada	Bevan-Baker	Peter		(902) 658-2741	19-Sep-2008	08:35:00
11004	Malpeque	Malpeque	New Democratic Party	Nouveau Parti démocratique	Brown	J'Nan		(902) 675-4975	15-Sep-2008	01:40:00
11004	Malpeque	Malpeque	Conservative Party of Canada	Parti conservateur du Canada	Crane	Mary		(902) 629-6297	11-Sep-2008	02:05:00
11004	Malpeque	Malpeque	Liberal Party of Canada	Parti libéral du Canada	Easter	Wayne		(902) 620-0009	12-Sep-2008	06:30:00
12001	Cape Breton--Canso	Cape Breton--Canso	Liberal Party of Canada	Parti libéral du Canada	Cuzner	Rodger		(902) 849-8822	16-Sep-2008	04:45:00
12001	Cape Breton--Canso	Cape Breton--Canso	Green Party of Canada	Le Parti Vert du Canada	MacEachern	Dwayne		(902) 248-2211	14-Sep-2008	03:00:00
12001	Cape Breton--Canso	Cape Breton--Canso	New Democratic Party	Nouveau Parti démocratique	MacNeill	Mark		(902) 849-9685	18-Sep-2008	08:00:00
12001	Cape Breton--Canso	Cape Breton--Canso	Conservative Party of Canada	Parti conservateur du Canada	Murphy	Allan Richard		(902) 567-6796	14-Sep-2008	08:00:00
12002	Central Nova	Nova-Centre	Canadian Action Party	Parti action canadienne	Kemp	Paul		(902) 925-2788	22-Sep-2008	10:04:00
12002	Central Nova	Nova-Centre	New Democratic Party	Nouveau Parti démocratique	Lorefice	Mary Louise		(902) 752-6119	12-Sep-2008	06:35:00
12002	Central Nova	Nova-Centre	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	MacKay	Michael Harris		(902) 396-4832	19-Sep-2008	07:35:00
12002	Central Nova	Nova-Centre	Conservative Party of Canada	Parti conservateur du Canada	MacKay	Peter Gordon		(902) 755-9778	12-Sep-2008	11:19:00
12002	Central Nova	Nova-Centre	Green Party of Canada	Le Parti Vert du Canada	May	Elizabeth		(902) 695-4000	11-Sep-2008	07:45:00
12003	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Campbell	George		(902) 462-8831	19-Sep-2008	05:35:00
12003	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	New Democratic Party	Nouveau Parti démocratique	Pye	Brad		(902) 463-1476	12-Sep-2008	08:15:00
12003	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	Liberal Party of Canada	Parti libéral du Canada	Savage	Michael John			19-Sep-2008	03:40:00
12003	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	Green Party of Canada	Le Parti Vert du Canada	Shreenan	Paul		(902) 465-6895	22-Sep-2008	01:15:00
12003	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	Conservative Party of Canada	Parti conservateur du Canada	Webber	Wanda		(902) 406-7088	16-Sep-2008	11:30:00
12004	Halifax	Halifax	Conservative Party of Canada	Parti conservateur du Canada	Larsen	Ted		(902) 406-7390	17-Sep-2008	02:05:00
12004	Halifax	Halifax	New Democratic Party	Nouveau Parti démocratique	Leslie	Megan		(902) 423-2803	13-Sep-2008	03:20:00
12004	Halifax	Halifax	Liberal Party of Canada	Parti libéral du Canada	Meade	Catherine		(902) 406-7460	18-Sep-2008	08:00:00
12004	Halifax	Halifax	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Seed	Tony		(902) 477-0470	22-Sep-2008	12:01:00
12004	Halifax	Halifax	Green Party of Canada	Le Parti Vert du Canada	Whetter	Darryl		0	13-Sep-2008	05:35:00
12005	Halifax West	Halifax-Ouest	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Ennis	Trevor		(902) 223-2888	22-Sep-2008	11:05:00
12005	Halifax West	Halifax-Ouest	Conservative Party of Canada	Parti conservateur du Canada	Khosla	Rakesh		(902) 835-8702	16-Sep-2008	02:00:00
12005	Halifax West	Halifax-Ouest	New Democratic Party	Nouveau Parti démocratique	Lorincz	Tamara		(902) 455-4637	15-Sep-2008	06:40:00
12005	Halifax West	Halifax-Ouest	Green Party of Canada	Le Parti Vert du Canada	Munday	Michael		(902) 852-2582	17-Sep-2008	08:15:00
12005	Halifax West	Halifax-Ouest	Liberal Party of Canada	Parti libéral du Canada	Regan	Geoff		(902) 835-8400	11-Sep-2008	11:24:00
12006	Kings--Hants	Kings--Hants	Liberal Party of Canada	Parti libéral du Canada	Brison	Scott		(902) 681-9590	18-Sep-2008	03:00:00
12006	Kings--Hants	Kings--Hants	New Democratic Party	Nouveau Parti démocratique	Harris	Carol E.		(902) 542-9689	18-Sep-2008	12:30:00
12006	Kings--Hants	Kings--Hants	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Hnatiuk	Jim		(902) 259-3330	19-Sep-2008	11:30:00
12006	Kings--Hants	Kings--Hants	Green Party of Canada	Le Parti Vert du Canada	MacNeill	Brendan		(902) 692-8074	22-Sep-2008	06:20:00
12006	Kings--Hants	Kings--Hants	Conservative Party of Canada	Parti conservateur du Canada	Segado	Rosemary		1 877 798-5144	22-Sep-2008	03:05:00
12007	Cumberland--Colchester--Musquodoboit Valley	Cumberland--Colchester--Musquodoboit Valley	Conservative Party of Canada	Parti conservateur du Canada	Bernard	Joel E.			12-Sep-2008	07:20:00
12007	Cumberland--Colchester--Musquodoboit Valley	Cumberland--Colchester--Musquodoboit Valley	Independent	Indépendant	Casey	Bill		(902) 897-4259	12-Sep-2008	09:00:00
12007	Cumberland--Colchester--Musquodoboit Valley	Cumberland--Colchester--Musquodoboit Valley	New Democratic Party	Nouveau Parti démocratique	Olsson	Karen		(902) 956-4825	18-Sep-2008	03:05:00
12007	Cumberland--Colchester--Musquodoboit Valley	Cumberland--Colchester--Musquodoboit Valley	Liberal Party of Canada	Parti libéral du Canada	Parsons	Tracy		1 888 463-2870	12-Sep-2008	09:30:00
12007	Cumberland--Colchester--Musquodoboit Valley	Cumberland--Colchester--Musquodoboit Valley	Independent	Indépendant	Simpson	Rick		(902) 661-1645	23-Sep-2008	09:30:00
12008	Sackville--Eastern Shore	Sackville--Eastern Shore	Green Party of Canada	Le Parti Vert du Canada	Hartlen	Noreen			19-Sep-2008	03:32:00
12008	Sackville--Eastern Shore	Sackville--Eastern Shore	Conservative Party of Canada	Parti conservateur du Canada	Montgomery	David		(902) 252-3283	18-Sep-2008	08:09:00
12008	Sackville--Eastern Shore	Sackville--Eastern Shore	Liberal Party of Canada	Parti libéral du Canada	Scott	Carolyn		(902) 252-3988	19-Sep-2008	12:59:00
12008	Sackville--Eastern Shore	Sackville--Eastern Shore	New Democratic Party	Nouveau Parti démocratique	Stoffer	Peter		(902) 865-2360	15-Sep-2008	08:09:00
12009	South Shore--St. Margaret's	South Shore--St. Margaret's	New Democratic Party	Nouveau Parti démocratique	Earle	Gordon S.		(902) 530-3540	12-Sep-2008	04:30:00
12009	South Shore--St. Margaret's	South Shore--St. Margaret's	Conservative Party of Canada	Parti conservateur du Canada	Keddy	Gerald		(902) 543-2488	12-Sep-2008	05:10:00
12009	South Shore--St. Margaret's	South Shore--St. Margaret's	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Larkin	Joe		(902) 723-2567	18-Sep-2008	08:30:00
12009	South Shore--St. Margaret's	South Shore--St. Margaret's	Green Party of Canada	Le Parti Vert du Canada	Oddy	Michael		(902) 823-1225	17-Sep-2008	07:15:00
12009	South Shore--St. Margaret's	South Shore--St. Margaret's	Liberal Party of Canada	Parti libéral du Canada	Smith	Bill		(902) 543-4145	13-Sep-2008	03:30:00
12010	Sydney--Victoria	Sydney--Victoria	Liberal Party of Canada	Parti libéral du Canada	Eyking	Mark		(902) 567-9867	19-Sep-2008	05:25:00
12010	Sydney--Victoria	Sydney--Victoria	Green Party of Canada	Le Parti Vert du Canada	Harker	Collin		(902) 270-5331	22-Sep-2008	11:30:00
12010	Sydney--Victoria	Sydney--Victoria	New Democratic Party	Nouveau Parti démocratique	McKay	Wayne		(902) 562-4949	22-Sep-2008	11:18:00
12010	Sydney--Victoria	Sydney--Victoria	Conservative Party of Canada	Parti conservateur du Canada	Rudderham	Kristen		(902) 567-9887	22-Sep-2008	12:30:00
12011	West Nova	Nova-Ouest	New Democratic Party	Nouveau Parti démocratique	Barron	George		(902) 245-6373	18-Sep-2008	01:54:00
12011	West Nova	Nova-Ouest	Conservative Party of Canada	Parti conservateur du Canada	Kerr	Greg		(902) 532-7500	13-Sep-2008	08:05:00
12011	West Nova	Nova-Ouest	Green Party of Canada	Le Parti Vert du Canada	Mills	Ronald		(902) 538-5848	23-Sep-2008	09:20:00
12011	West Nova	Nova-Ouest	Independent	Indépendant	Nesbitt	Cindy M.		(902) 839-2865	17-Sep-2008	02:30:00
12011	West Nova	Nova-Ouest	Liberal Party of Canada	Parti libéral du Canada	Thibault	Robert		(902) 825-2052	17-Sep-2008	02:55:00
13001	Acadie--Bathurst	Acadie--Bathurst	Green Party of Canada	Le Parti Vert du Canada	Aubin	Michelle		(506) 855-2481	23-Sep-2008	03:15:00
13001	Acadie--Bathurst	Acadie--Bathurst	Conservative Party of Canada	Parti conservateur du Canada	Dubé	Jean Guy		(506) 395-4117	12-Sep-2008	10:10:00
13001	Acadie--Bathurst	Acadie--Bathurst	New Democratic Party	Nouveau Parti démocratique	Godin	Yvon		(506) 548-4030	12-Sep-2008	09:15:00
13001	Acadie--Bathurst	Acadie--Bathurst	Liberal Party of Canada	Parti libéral du Canada	Robichaud	Odette		(506) 727-3154	15-Sep-2008	04:10:00
13002	Beauséjour	Beauséjour	New Democratic Party	Nouveau Parti démocratique	Durrant	Chris		(506) 869-0424	22-Sep-2008	11:30:00
13002	Beauséjour	Beauséjour	Liberal Party of Canada	Parti libéral du Canada	LeBlanc	Dominic		(506) 532-2882	15-Sep-2008	05:30:00
13002	Beauséjour	Beauséjour	Conservative Party of Canada	Parti conservateur du Canada	Leger	Omer		1 888 290-7444	16-Sep-2008	07:40:00
13002	Beauséjour	Beauséjour	Green Party of Canada	Le Parti Vert du Canada	Milligan	Michael		(506) 533-9862	22-Sep-2008	03:25:00
13003	Fredericton	Fredericton	Conservative Party of Canada	Parti conservateur du Canada	Ashfield	Keith		(506) 455-2003	16-Sep-2008	09:50:00
13003	Fredericton	Fredericton	Green Party of Canada	Le Parti Vert du Canada	Babineau	Mary Lou		(506) 474-1492	14-Sep-2008	03:35:00
13003	Fredericton	Fredericton	Liberal Party of Canada	Parti libéral du Canada	Innes	David		(506) 454-3283	17-Sep-2008	07:15:00
13003	Fredericton	Fredericton	Canadian Action Party	Parti action canadienne	Kelly	Ben		(506) 471-5895	22-Sep-2008	04:00:00
13003	Fredericton	Fredericton	New Democratic Party	Nouveau Parti démocratique	Travis	Jesse		(506) 458-8735	17-Sep-2008	11:45:00
13004	Fundy Royal	Fundy Royal	Green Party of Canada	Le Parti Vert du Canada	Millett	Erik Matthew		(506) 832-2465	18-Sep-2008	10:30:00
13004	Fundy Royal	Fundy Royal	New Democratic Party	Nouveau Parti démocratique	Moir	Rob		(506) 832-0570	18-Sep-2008	12:30:00
13004	Fundy Royal	Fundy Royal	Conservative Party of Canada	Parti conservateur du Canada	Moore	Rob		1 888 926-6673	11-Sep-2008	04:27:00
13004	Fundy Royal	Fundy Royal	Liberal Party of Canada	Parti libéral du Canada	Wright	Mark		(506) 432-6141	18-Sep-2008	03:30:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	Green Party of Canada	Le Parti Vert du Canada	Arpin	André		(506) 284-3140	22-Sep-2008	10:30:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	Liberal Party of Canada	Parti libéral du Canada	D'Amours	Jean-Claude JC		(506) 737-0052	19-Sep-2008	05:30:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	Conservative Party of Canada	Parti conservateur du Canada	Ouellet	Jean-Pierre		(506) 739-5566	12-Sep-2008	03:30:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	New Democratic Party	Nouveau Parti démocratique	Tremblay-Philippe	Thérèse		(506) 685-7253	19-Sep-2008	07:05:00
13006	Miramichi	Miramichi	New Democratic Party	Nouveau Parti démocratique	Doucet	Donald A.			18-Sep-2008	10:35:00
13006	Miramichi	Miramichi	Liberal Party of Canada	Parti libéral du Canada	Hubbard	Charles		(506) 773-5700	16-Sep-2008	09:38:00
13006	Miramichi	Miramichi	Conservative Party of Canada	Parti conservateur du Canada	O'Neill-Gordon	Tilly		(506) 773-7070	16-Sep-2008	11:30:00
13006	Miramichi	Miramichi	Green Party of Canada	Le Parti Vert du Canada	Smith	Todd		(819) 679-2341	21-Sep-2008	03:50:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	Conservative Party of Canada	Parti conservateur du Canada	Allain	Daniel		(506) 382-7175	18-Sep-2008	11:30:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	New Democratic Party	Nouveau Parti démocratique	Bainbridge	Carl		(506) 382-5778	20-Sep-2008	07:40:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	Green Party of Canada	Le Parti Vert du Canada	Ménard	Alison		(506) 204-4635	17-Sep-2008	07:45:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	Liberal Party of Canada	Parti libéral du Canada	Murphy	Brian		(506) 384-4343	16-Sep-2008	07:30:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	Green Party of Canada	Le Parti Vert du Canada	Boucher	Robert Wayne		(506) 476-2322	22-Sep-2008	03:55:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	New Democratic Party	Nouveau Parti démocratique	Graham	Andrew		(506) 693-7924	17-Sep-2008	03:50:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	Liberal Party of Canada	Parti libéral du Canada	MacIntosh	Nancy		(506) 449-2874	19-Sep-2008	10:55:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	Conservative Party of Canada	Parti conservateur du Canada	Thompson	Greg		(506) 465-8920	16-Sep-2008	03:10:00
13009	Saint John	Saint John	Marijuana Party	Parti Marijuana	Moffat	Michael		(613) 863-5013	22-Sep-2008	01:15:00
13009	Saint John	Saint John	New Democratic Party	Nouveau Parti démocratique	Mowery	Tony			18-Sep-2008	05:30:00
13009	Saint John	Saint John	Green Party of Canada	Le Parti Vert du Canada	Richardson	Mike		(506) 651-8941	18-Sep-2008	05:30:00
13009	Saint John	Saint John	Conservative Party of Canada	Parti conservateur du Canada	Weston	Rodney		(506) 657-8679	18-Sep-2008	12:05:00
13009	Saint John	Saint John	Liberal Party of Canada	Parti libéral du Canada	Zed	Paul		(506) 657-3000	18-Sep-2008	08:30:00
13010	Tobique--Mactaquac	Tobique--Mactaquac	Conservative Party of Canada	Parti conservateur du Canada	Allen	Mike		1 877 922-6453	16-Sep-2008	04:10:00
13010	Tobique--Mactaquac	Tobique--Mactaquac	New Democratic Party	Nouveau Parti démocratique	Finnamore	Alice			16-Sep-2008	02:45:00
13010	Tobique--Mactaquac	Tobique--Mactaquac	Green Party of Canada	Le Parti Vert du Canada	Glass	Mark		(506) 356-2671	20-Sep-2008	11:40:00
13010	Tobique--Mactaquac	Tobique--Mactaquac	Liberal Party of Canada	Parti libéral du Canada	McGrath	Sally			19-Sep-2008	06:18:00
24001	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Liberal Party of Canada	Parti libéral du Canada	Barrette	Gilbert			22-Sep-2008	12:00:00
24001	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Green Party of Canada	Le Parti Vert du Canada	Côté	Bruno		(819) 759-3144	21-Sep-2008	03:00:00
24001	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Conservative Party of Canada	Parti conservateur du Canada	Grandmaitre	Pierre		(819) 762-2756	12-Sep-2008	06:10:00
24001	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Bloc Québécois	Bloc Québécois	Lemay	Marc		(819) 762-2724	12-Sep-2008	03:30:00
24001	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Independent	Indépendant	Loiselle	Ghislain			17-Sep-2008	01:19:00
24001	Abitibi--Témiscamingue	Abitibi--Témiscamingue	New Democratic Party	Nouveau Parti démocratique	Moore	Christine		(819) 783-2117	12-Sep-2008	02:36:00
24002	Ahuntsic	Ahuntsic	Liberal Party of Canada	Parti libéral du Canada	Bakopanos	Eleni		(514) 383-2100	20-Sep-2008	12:00:00
24002	Ahuntsic	Ahuntsic	New Democratic Party	Nouveau Parti démocratique	Bélec	Alexandra		(514) 590-0036	15-Sep-2008	11:05:00
24002	Ahuntsic	Ahuntsic	Bloc Québécois	Bloc Québécois	Mourani	Maria			14-Sep-2008	12:00:00
24002	Ahuntsic	Ahuntsic	Conservative Party of Canada	Parti conservateur du Canada	Précourt	Jean			13-Sep-2008	05:00:00
24002	Ahuntsic	Ahuntsic	Green Party of Canada	Le Parti Vert du Canada	Tremblay	Lynette			20-Sep-2008	04:15:00
24003	Alfred-Pellan	Alfred-Pellan	Bloc Québécois	Bloc Québécois	Carrier	Robert		(450) 505-8108	16-Sep-2008	05:30:00
24003	Alfred-Pellan	Alfred-Pellan	Green Party of Canada	Le Parti Vert du Canada	Desjardins Drouin	Tristan			22-Sep-2008	10:00:00
24003	Alfred-Pellan	Alfred-Pellan	Independent	Indépendant	Millette	Régent		(450) 663-4616	22-Sep-2008	09:30:00
24003	Alfred-Pellan	Alfred-Pellan	New Democratic Party	Nouveau Parti démocratique	Roy	Cynthia			19-Sep-2008	06:30:00
24003	Alfred-Pellan	Alfred-Pellan	Liberal Party of Canada	Parti libéral du Canada	Saintelmy	Wilson		(450) 735-2601	20-Sep-2008	01:00:00
24003	Alfred-Pellan	Alfred-Pellan	Conservative Party of Canada	Parti conservateur du Canada	Salameh	Alexandre		(450) 967-2200	16-Sep-2008	02:00:00
24004	Argenteuil--Papineau--Mirabel	Argenteuil--Papineau--Mirabel	Green Party of Canada	Le Parti Vert du Canada	Audette	Pierre		(450) 562-4422	19-Sep-2008	08:30:00
24004	Argenteuil--Papineau--Mirabel	Argenteuil--Papineau--Mirabel	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Ferlatte	Christian-Simon			18-Sep-2008	05:45:00
24004	Argenteuil--Papineau--Mirabel	Argenteuil--Papineau--Mirabel	Bloc Québécois	Bloc Québécois	Laframboise	Mario			12-Sep-2008	08:40:00
24004	Argenteuil--Papineau--Mirabel	Argenteuil--Papineau--Mirabel	Conservative Party of Canada	Parti conservateur du Canada	Pearce	Scott		(450) 566-1611	11-Sep-2008	02:35:00
24004	Argenteuil--Papineau--Mirabel	Argenteuil--Papineau--Mirabel	Liberal Party of Canada	Parti libéral du Canada	Robert	André		(450) 562-0808	20-Sep-2008	10:30:00
24004	Argenteuil--Papineau--Mirabel	Argenteuil--Papineau--Mirabel	New Democratic Party	Nouveau Parti démocratique	Senécal	Alain			18-Sep-2008	11:30:00
24005	Beauce	Beauce	Conservative Party of Canada	Parti conservateur du Canada	Bernier	Maxime		(418) 221-0242	11-Sep-2008	06:25:00
24005	Beauce	Beauce	Bloc Québécois	Bloc Québécois	Côté	André			18-Sep-2008	01:00:00
24005	Beauce	Beauce	New Democratic Party	Nouveau Parti démocratique	Poulin	Véronique			13-Sep-2008	03:05:00
24005	Beauce	Beauce	Green Party of Canada	Le Parti Vert du Canada	Rochette	Nicolas		(418) 774-2503	22-Sep-2008	08:30:00
24005	Beauce	Beauce	Liberal Party of Canada	Parti libéral du Canada	Roy	René			22-Sep-2008	09:00:00
24006	Beauharnois--Salaberry	Beauharnois--Salaberry	Conservative Party of Canada	Parti conservateur du Canada	Bellemare	Dominique		(450) 377-8500	11-Sep-2008	06:21:00
