Electoral District Number / No. de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	Candidate's Initial / Initiale du candidat	Confirmation Date / Date de confirmation
11001	Cardigan	Cardigan	Green Party	Parti Vert	Stiles	Jeremy		7/6/04 11:20
11001	Cardigan	Cardigan	Conservative	conservateur	McQuaid	Peter		3/6/04 13:10
11002	Charlottetown	Charlottetown	Liberal	Libéral	Murphy	Shawn		1/6/04 8:30
11002	Charlottetown	Charlottetown	N.D.P.	N.P.D.	Crane	Dody		5/6/04 12:00
11002	Charlottetown	Charlottetown	Green Party	Parti Vert	McFadden	Will		5/6/04 16:30
11002	Charlottetown	Charlottetown	Christian Heritage Party	Parti de l'Héritage Chrétien	Judson	Baird		7/6/04 11:20
11002	Charlottetown	Charlottetown	Conservative	conservateur	Peters	Darren		4/6/04 18:30
11003	Egmont	Egmont	Liberal	Libéral	McGuire	Joe		1/6/04 11:45
11003	Egmont	Egmont	N.D.P.	N.P.D.	Russell	Regena	Kaye	5/6/04 17:25
11003	Egmont	Egmont	Conservative	conservateur	Harper	Reg		2/6/04 10:10
11003	Egmont	Egmont	Green Party	Parti Vert	Novaczek	Irené		4/6/04 17:00
11004	Malpeque	Malpeque	Liberal	Libéral	Easter	Wayne		29/05/2004 13:30:00
11004	Malpeque	Malpeque	Conservative	conservateur	Crane	Mary		29/05/2004 10:30:00
11004	Malpeque	Malpeque	Green Party	Parti Vert	Labchuk	Sharon		4/6/04 11:00
11004	Malpeque	Malpeque	N.D.P.	N.P.D.	Bingham	Ken		5/6/04 12:00
12001	Cape Breton--Canso	Cape Breton--Canso	Liberal	Libéral	Cuzner	Rodger		3/6/04 15:00
12001	Cape Breton--Canso	Cape Breton--Canso	Green Party	Parti Vert	Gibson	Seumas		2/6/04 11:00
12001	Cape Breton--Canso	Cape Breton--Canso	N.D.P.	N.P.D.	Hartery	Shirley		4/6/04 18:30
12001	Cape Breton--Canso	Cape Breton--Canso	Conservative	conservateur	MacNeil	Kenzie		4/6/04 20:30
12002	Central Nova	Nova-Centre	Liberal	Libéral	Green	Susan	L.	2/6/04 15:55
12002	Central Nova	Nova-Centre	N.D.P.	N.P.D.	MacDonald	Alexis		4/6/04 18:00
12002	Central Nova	Nova-Centre	Conservative	conservateur	MacKay	Peter	G.	1/6/04 13:15
12002	Central Nova	Nova-Centre	Green Party	Parti Vert	Mosher	Rebecca		26/05/2004 12:25:00
12003	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	Liberal	Libéral	Savage	Michael	John	3/6/04 18:15
12003	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	N.D.P.	N.P.D.	MacAlpine-Gillis	Susan		30/05/2004 13:30:00
12003	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	PC Party	Parti PC	Parsons	Tracy		1/6/04 16:00
12003	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	Conservative	conservateur	MacDonald	Mike		4/6/04 10:50
12003	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	Marxist-Leninist	Marxiste-Léniniste	Spurr	Charles		7/6/04 12:50
12003	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	Green Party	Parti Vert	Marshall	Michael		31/05/2004 10:30:00
12004	Halifax	Halifax	Liberal	Libéral	Fougere	Sheila		29/05/2004 15:23:00
12004	Halifax	Halifax	Conservative	conservateur	Keefe	Kevin	Leslie	3/6/04 15:00
12004	Halifax	Halifax	Green Party	Parti Vert	Oddy	Michael		2/6/04 16:54
12004	Halifax	Halifax	N.D.P.	N.P.D.	McDonough	Alexa		2/6/04 14:20
12005	Halifax West	Halifax-Ouest	Liberal	Libéral	Regan	Geoff		27/05/2004 18:30:00
12005	Halifax West	Halifax-Ouest	Green Party	Parti Vert	Willison	Martin		1/6/04 10:45
12005	Halifax West	Halifax-Ouest	Conservative	conservateur	MacPhee	Ken		4/6/04 14:10
12005	Halifax West	Halifax-Ouest	N.D.P.	N.P.D.	Carr	Bill		4/6/04 15:45
12006	Kings--Hants	Kings--Hants	Liberal	Libéral	Brison	Scott		28/05/2004 19:00:00
12006	Kings--Hants	Kings--Hants	Independent	Indépendant	Hennigar	Richard		6/6/04 12:30
12006	Kings--Hants	Kings--Hants	Christian Heritage Party	Parti de l'Héritage Chrétien	Hnatiuk	Jim		28/05/2004 18:00:00
12006	Kings--Hants	Kings--Hants	Conservative	conservateur	Mullan	Bob		1/6/04 16:00
12006	Kings--Hants	Kings--Hants	Green Party	Parti Vert	Stacey	Kevin		28/05/2004 16:00:00
12006	Kings--Hants	Kings--Hants	N.D.P.	N.P.D.	Hambling	Skip		5/6/04 17:00
12007	North Nova	Nova-Nord	Liberal	Libéral	Brushett	Dianne		1/6/04 20:00
12007	North Nova	Nova-Nord	PC Party	Parti PC	Moors	Jack		31/05/2004 17:45:00
12007	North Nova	Nova-Nord	Conservative	conservateur	Casey	Bill		3/6/04 14:30
12007	North Nova	Nova-Nord	Green Party	Parti Vert	Richardson	Sheila 	G.	1/6/04 15:15
12007	North Nova	Nova-Nord	N.D.P.	N.P.D.	Sagar	Margaret	E.	4/6/04 9:00
12008	Sackville--Eastern Shore	Sackville--Eastern Shore	Liberal	Libéral	Stevens	Dale		2/6/04 21:10
12008	Sackville--Eastern Shore	Sackville--Eastern Shore	PC Party	Parti PC	Moors	Greg		28/05/2004 11:35:00
12008	Sackville--Eastern Shore	Sackville--Eastern Shore	Conservative	conservateur	Streatch	Steve		4/6/04 19:55
12008	Sackville--Eastern Shore	Sackville--Eastern Shore	Green Party	Parti Vert	Fullerton	David		28/05/2004 17:30:00
12008	Sackville--Eastern Shore	Sackville--Eastern Shore	N.D.P.	N.P.D.	Stoffer	Peter		1/6/04 10:45
12009	South Shore--St. Margaret's	South Shore--St. Margaret's	Liberal	Libéral	Chandler	John		2/6/04 11:50
12009	South Shore--St. Margaret's	South Shore--St. Margaret's	N.D.P.	N.P.D.	Earle	Gordon		1/6/04 15:00
12009	South Shore--St. Margaret's	South Shore--St. Margaret's	Conservative	conservateur	Keddy	Gerald		2/6/04 11:20
12009	South Shore--St. Margaret's	South Shore--St. Margaret's	Green Party	Parti Vert	Morris Boudreau	Katie		2/6/04 18:00
12010	Sydney--Victoria	Sydney--Victoria	Liberal	Libéral	Eyking	Mark		3/6/04 14:30
12010	Sydney--Victoria	Sydney--Victoria	Independent	Indépendant	Gallant	B. Chris		4/6/04 20:26
12010	Sydney--Victoria	Sydney--Victoria	Conservative	conservateur	MacDonald	Howie		3/6/04 17:45
12010	Sydney--Victoria	Sydney--Victoria	Marijuana Party	Parti Marijuana	Thériault	Cathy		3/6/04 20:15
12010	Sydney--Victoria	Sydney--Victoria	N.D.P.	N.P.D.	Edwards	John	Hugh	4/6/04 12:43
12010	Sydney--Victoria	Sydney--Victoria	Green Party	Parti Vert	Milburn	Chris		3/6/04 13:00
12011	West Nova	Nova-Ouest	Liberal	Libéral	Thibault	Robert		31/05/2004 15:50:00
12011	West Nova	Nova-Ouest	Conservative	conservateur	Carey	Jon	Charles	4/6/04 16:18
12011	West Nova	Nova-Ouest	Green Party	Parti Vert	Granger	Matthew		4/6/04 12:30
12011	West Nova	Nova-Ouest	N.D.P.	N.P.D.	Bull	Edmund	Arthur	4/6/04 14:38
13001	Acadie--Bathurst	Acadie--Bathurst	Liberal	Libéral	Rousselle	Serge		1/6/04 19:35
13001	Acadie--Bathurst	Acadie--Bathurst	Conservative	conservateur	Bernard	Joel	E.	3/6/04 20:30
13001	Acadie--Bathurst	Acadie--Bathurst	N.D.P.	N.P.D.	Godin	Yvon		4/6/04 15:30
13001	Acadie--Bathurst	Acadie--Bathurst	Green Party	Parti Vert	Lanteigne	Mario		4/6/04 10:05
13002	Beauséjour	Beauséjour	Liberal	Libéral	LeBlanc	Dominic		2/6/04 16:30
13002	Beauséjour	Beauséjour	Conservative	conservateur	Vautour	Angela		2/6/04 8:10
13002	Beauséjour	Beauséjour	Green Party	Parti Vert	Girouard	Anna		3/6/04 18:35
13002	Beauséjour	Beauséjour	N.D.P.	N.P.D.	Bourque	Omer		4/6/04 17:35
13003	Fredericton	Fredericton	Liberal	Libéral	Scott	Andy		3/6/04 9:00
13003	Fredericton	Fredericton	Conservative	conservateur	Fox	Kent		2/6/04 8:30
13003	Fredericton	Fredericton	Green Party	Parti Vert	Letts	Daron		3/6/04 12:00
13003	Fredericton	Fredericton	N.D.P.	N.P.D.	Carty	John		4/6/04 11:50
13004	Fundy	Fundy	Liberal	Libéral	Herron	John		1/6/04 20:30
13004	Fundy	Fundy	Conservative	conservateur	Moore	Rob		31/05/2004 17:00:00
13004	Fundy	Fundy	Independent	Indépendant	Amos	David Raymond		7/6/04 22:50
13004	Fundy	Fundy	Green Party	Parti Vert	Bach	Karin		1/6/04 13:00
13004	Fundy	Fundy	N.D.P.	N.P.D.	Hanratty	Pat		4/6/04 20:30
13005	Madawaska--Restigouche	Madawaska--Restigouche	Liberal	Libéral	D'Amours	Jean-Claude J.C.		2/6/04 16:45
13005	Madawaska--Restigouche	Madawaska--Restigouche	N.D.P.	N.P.D.	Martin	Rodolphe		3/6/04 16:40
13005	Madawaska--Restigouche	Madawaska--Restigouche	Conservative	conservateur	Violette	Benoit		5/6/04 14:30
13005	Madawaska--Restigouche	Madawaska--Restigouche	Green Party	Parti Vert	Cyr	Jovette		4/6/04 13:30
13006	Miramichi	Miramichi	Liberal	Libéral	Hubbard	Charles	Isaac	3/6/04 15:00
13006	Miramichi	Miramichi	N.D.P.	N.P.D.	Rousselle	Hilaire		6/6/04 10:00
13006	Miramichi	Miramichi	Conservative	conservateur	Morrison	Michael	J.	3/6/04 9:00
13006	Miramichi	Miramichi	Green Party	Parti Vert	Sanipass	Garry		3/6/04 22:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	Liberal	Libéral	Bradshaw	Claudette		31/05/2004 10:30:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	N.D.P.	N.P.D.	Lapointe	Hélène		6/6/04 22:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	Conservative	conservateur	LeBlanc	Jean		3/6/04 15:30
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	Green Party	Parti Vert	Hamel	Judith		3/6/04 11:30
13008	St. Croix--Belleisle	St. Croix--Belleisle	Liberal	Libéral	Dunlap	Jim		1/6/04 8:30
13008	St. Croix--Belleisle	St. Croix--Belleisle	Canadian Action	Action canadienne	Szemerda	David		8/6/04 11:00
13008	St. Croix--Belleisle	St. Croix--Belleisle	Conservative	conservateur	Thompson	Greg		3/6/04 10:30
13008	St. Croix--Belleisle	St. Croix--Belleisle	Green Party	Parti Vert	Millett	Erik	Matthew	3/6/04 11:00
13008	St. Croix--Belleisle	St. Croix--Belleisle	N.D.P.	N.P.D.	Webber	Patrick		4/6/04 21:30
13009	Saint John	Saint John	Liberal	Libéral	Zed	Paul		31/05/2004 19:35:00
13009	Saint John	Saint John	Marijuana Party	Parti Marijuana	Wood	Jim		7/6/04 18:55
13009	Saint John	Saint John	Conservative	conservateur	McVicar	Bob		4/6/04 16:47
13009	Saint John	Saint John	Independent	Indépendant	Oland	Tom		5/6/04 11:35
13009	Saint John	Saint John	Green Party	Parti Vert	Cormier	Jonathan		4/6/04 15:45
13009	Saint John	Saint John	N.D.P.	N.P.D.	Albright	Terry		6/6/04 13:45
13010	Tobique--Mactaquac	Tobique--Mactaquac	Liberal	Libéral	Savoy	Andy		1/6/04 14:15
13010	Tobique--Mactaquac	Tobique--Mactaquac	Conservative	conservateur	Allen	Mike		29/05/2004 16:45:00
13010	Tobique--Mactaquac	Tobique--Mactaquac	Green Party	Parti Vert	Jones	Scott		4/6/04 12:00
13010	Tobique--Mactaquac	Tobique--Mactaquac	N.D.P.	N.P.D.	Mapplebeck	Jason		5/6/04 17:25
24001	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Liberal	Libéral	Barrette	Gilbert		28/05/2004 17:30:00
24001	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Conservative	conservateur	Beauchesne	Bernard Hugues		6/6/04 17:35
24001	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Bloc Québécois	Bloc Québécois	Lemay	Marc		27/05/2004 17:30:00
24001	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Green Party	Parti Vert	Rancourt	Patrick		2/6/04 17:10
24001	Abitibi--Témiscamingue	Abitibi--Témiscamingue	N.D.P.	N.P.D.	Shushack	Dennis		28/05/2004 16:30:00
24002	Ahuntsic	Ahuntsic	Liberal	Libéral	Bakopanos	Eleni		3/6/04 14:03
24002	Ahuntsic	Ahuntsic	Bloc Québécois	Bloc Québécois	Mourani	Maria 		4/6/04 16:33
24002	Ahuntsic	Ahuntsic	Conservative	conservateur	Fortier	Jean	E.	1/6/04 15:54
24002	Ahuntsic	Ahuntsic	Marijuana Party	Parti Marijuana	De Longchamp	F.X.		7/6/04 14:40
24002	Ahuntsic	Ahuntsic	Marxist-Leninist	Marxiste-Léniniste	Fine	Marsha		31/05/2004 12:38:00
24002	Ahuntsic	Ahuntsic	Green Party	Parti Vert	Tremblay	Lynette		27/05/2004 15:11:00
24002	Ahuntsic	Ahuntsic	N.D.P.	N.P.D.	Bergeron	Annick		4/6/04 13:15
24003	Alfred-Pellan	Alfred-Pellan	Liberal	Libéral	Allard	Carole-Marie		11/5/04 11:30
24003	Alfred-Pellan	Alfred-Pellan	N.D.P.	N.P.D.	Le Bel	Benjamin		2/6/04 18:30
24003	Alfred-Pellan	Alfred-Pellan	Conservative	conservateur	Raymond	Rosane		1/6/04 15:10
24003	Alfred-Pellan	Alfred-Pellan	Independent	Indépendant	Desbois	Yves		7/6/04 16:25
24003	Alfred-Pellan	Alfred-Pellan	Independent	Indépendant	Millette	Régent		7/6/04 16:40
24003	Alfred-Pellan	Alfred-Pellan	Bloc Québécois	Bloc Québécois	Carrier	Robert		28/05/2004 09:05:00
24003	Alfred-Pellan	Alfred-Pellan	Green Party	Parti Vert	Verenka	Louis-Philippe		6/6/04 15:05
24004	Argenteuil--Mirabel	Argenteuil--Mirabel	Liberal	Libéral	Sabourin	Yves		25/05/2004 19:30:00
24004	Argenteuil--Mirabel	Argenteuil--Mirabel	N.D.P.	N.P.D.	Clark	Elisabeth		2/6/04 15:45
24004	Argenteuil--Mirabel	Argenteuil--Mirabel	Green Party	Parti Vert	Sabourin	Claude		29/05/2004 14:30:00
24004	Argenteuil--Mirabel	Argenteuil--Mirabel	Christian Heritage Party	Parti de l'Héritage Chrétien	Filion	Laurent		7/6/04 10:30
24004	Argenteuil--Mirabel	Argenteuil--Mirabel	Conservative	conservateur	McArthur	David H.		5/6/04 14:30
24004	Argenteuil--Mirabel	Argenteuil--Mirabel	Bloc Québécois	Bloc Québécois	Laframboise	Mario		26/05/2004 11:30:00
24004	Argenteuil--Mirabel	Argenteuil--Mirabel	Marxist-Leninist	Marxiste-Léniniste	O'Grady	Michael		6/6/04 16:00
24005	Beauce	Beauce	Liberal	Libéral	Drouin	Claude		2/6/04 11:50
24005	Beauce	Beauce	Conservative	conservateur	Guay	Alain		29/05/2004 09:45:00
24005	Beauce	Beauce	N.D.P.	N.P.D.	Giguère	Philippe		4/6/04 14:20
24005	Beauce	Beauce	Bloc Québécois	Bloc Québécois	Barbe	Jean-François		1/6/04 15:00
24005	Beauce	Beauce	Green Party	Parti Vert	Binette	Michel		4/6/04 19:15
24006	Beauharnois--Salaberry	Beauharnois--Salaberry	Liberal	Libéral	Marcil	Serge		27/05/2004 14:00:00
24006	Beauharnois--Salaberry	Beauharnois--Salaberry	Conservative	conservateur	Bellemare	Dominique		4/6/04 13:20
24006	Beauharnois--Salaberry	Beauharnois--Salaberry	Marijuana Party	Parti Marijuana	Malboeuf	Félix		3/6/04 15:20
24006	Beauharnois--Salaberry	Beauharnois--Salaberry	Bloc Québécois	Bloc Québécois	Boire	Alain		27/05/2004 14:00:00
24006	Beauharnois--Salaberry	Beauharnois--Salaberry	Green Party	Parti Vert	Pelletier	Rémi		3/6/04 19:45
24006	Beauharnois--Salaberry	Beauharnois--Salaberry	N.D.P.	N.P.D.	Alakkattussery	Ligy		3/6/04 19:05
24007	Beauport	Beauport	Liberal	Libéral	Dawson	Dennis		1/6/04 10:00
24007	Beauport	Beauport	Bloc Québécois	Bloc Québécois	Simard	Christian		28/05/2004 10:55:00
24007	Beauport	Beauport	Conservative	conservateur	Asselin	Stephan		28/05/2004 18:25:00
24007	Beauport	Beauport	Marijuana Party	Parti Marijuana	Frichot	Nicolas		2/6/04 16:40
24007	Beauport	Beauport	Green Party	Parti Vert	Desharnais	Jeannine	T.	2/6/04 11:40
24007	Beauport	Beauport	N.D.P.	N.P.D.	Trégan	Xavier		4/6/04 18:20
24008	Berthier--Maskinongé	Berthier--Maskinongé	Liberal	Libéral	Thibault	Laurier		30/05/2004 18:00:00
24008	Berthier--Maskinongé	Berthier--Maskinongé	N.D.P.	N.P.D.	McKinnon	Denis		4/6/04 9:00
24008	Berthier--Maskinongé	Berthier--Maskinongé	Green Party	Parti Vert	Labrecque	Eric		6/6/04 17:30
24008	Berthier--Maskinongé	Berthier--Maskinongé	Conservative	conservateur	Fortier	Ann Julie		5/6/04 14:15
24008	Berthier--Maskinongé	Berthier--Maskinongé	Bloc Québécois	Bloc Québécois	André	Guy		1/6/04 12:00
24009	Bourassa	Bourassa	Liberal	Libéral	Coderre	Denis		1/6/04 17:20
24009	Bourassa	Bourassa	N.D.P.	N.P.D.	Saykaly	Stefano		1/6/04 17:15
24009	Bourassa	Bourassa	Marxist-Leninist	Marxiste-Léniniste	Royer	Geneviève		30/05/2004 14:45:00
24009	Bourassa	Bourassa	Green Party	Parti Vert	Lopinto	Noémi		5/6/04 18:00
24009	Bourassa	Bourassa	Bloc Québécois	Bloc Québécois	Provencher	Doris		2/6/04 16:05
24009	Bourassa	Bourassa	Marijuana Party	Parti Marijuana	Gauvin	Philippe		5/6/04 18:00
24009	Bourassa	Bourassa	Conservative	conservateur	Grenier	Frédéric		5/6/04 18:00
24010	Brome--Missisquoi	Brome--Missisquoi	Liberal	Libéral	Paradis	Denis		30/05/2004 19:00:00
24010	Brome--Missisquoi	Brome--Missisquoi	Green Party	Parti Vert	Martineau	Louise		1/6/04 18:00
24010	Brome--Missisquoi	Brome--Missisquoi	N.D.P.	N.P.D.	Huggins	Piper		4/6/04 14:00
24010	Brome--Missisquoi	Brome--Missisquoi	Conservative	conservateur	Stastny	Peter		30/05/2004 09:00:00
24010	Brome--Missisquoi	Brome--Missisquoi	Bloc Québécois	Bloc Québécois	Ouellet	Christian		29/05/2004 21:00:00
24011	Brossard--La Prairie	Brossard--La Prairie	Liberal	Libéral	Saada	Jacques		27/05/2004 15:20:00
24011	Brossard--La Prairie	Brossard--La Prairie	N.D.P.	N.P.D.	Alexan	Nadia		1/6/04 13:05
24011	Brossard--La Prairie	Brossard--La Prairie	Conservative	conservateur	Nicolas	Robert		31/05/2004 09:00:00
24011	Brossard--La Prairie	Brossard--La Prairie	Bloc Québécois	Bloc Québécois	Lussier	Marcel		28/05/2004 10:35:00
24011	Brossard--La Prairie	Brossard--La Prairie	Marxist-Leninist	Marxiste-Léniniste	Le Seigle	Yves		3/6/04 13:40
24011	Brossard--La Prairie	Brossard--La Prairie	Green Party	Parti Vert	Bissonnette	Cécile		1/6/04 20:20
24012	Chambly--Borduas	Chambly--Borduas	Liberal	Libéral	Joncas	Sophie		31/05/2004 16:10:00
24012	Chambly--Borduas	Chambly--Borduas	Conservative	conservateur	Richard	Lucien		2/6/04 17:45
24012	Chambly--Borduas	Chambly--Borduas	Bloc Québécois	Bloc Québécois	Lessard	Yves		31/05/2004 11:47:00
24012	Chambly--Borduas	Chambly--Borduas	N.D.P.	N.P.D.	Blouin	Daniel		1/6/04 16:30
24012	Chambly--Borduas	Chambly--Borduas	Green Party	Parti Vert	Lapointe	Benoit		5/6/04 13:00
24013	Charlesbourg	Charlesbourg	Liberal	Libéral	Laliberté	Jean-Marie		2/6/04 16:10
24013	Charlesbourg	Charlesbourg	N.D.P.	N.P.D.	Villeneuve	François		2/6/04 12:00
24013	Charlesbourg	Charlesbourg	Green Party	Parti Vert	Moisan-Domm	Marilou		4/6/04 11:30
24013	Charlesbourg	Charlesbourg	Conservative	conservateur	Proulx	Bertrand		1/6/04 16:30
24013	Charlesbourg	Charlesbourg	Marijuana Party	Parti Marijuana	Kasapoglu	Benjamin		4/6/04 14:40
24013	Charlesbourg	Charlesbourg	Bloc Québécois	Bloc Québécois	Marceau	Richard		28/05/2004 17:15:00
24014	Charlevoix--Montmorency	Charlevoix--Montmorency	Liberal	Libéral	Lepage	Lisette		5/6/04 12:50
24014	Charlevoix--Montmorency	Charlevoix--Montmorency	N.D.P.	N.P.D.	Hudon	Steeve		4/6/04 16:30
24014	Charlevoix--Montmorency	Charlevoix--Montmorency	Green Party	Parti Vert	Jourdain	Yves		2/6/04 13:35
24014	Charlevoix--Montmorency	Charlevoix--Montmorency	Conservative	conservateur	Tremblay	Guy-Léonard		29/05/2004 13:15:00
24014	Charlevoix--Montmorency	Charlevoix--Montmorency	Bloc Québécois	Bloc Québécois	Guimond	Michel		26/05/2004 16:46:00
24015	Châteauguay--Saint-Constant	Châteauguay--Saint-Constant	Liberal	Libéral	Lanctôt	Robert		1/6/04 19:59
24015	Châteauguay--Saint-Constant	Châteauguay--Saint-Constant	N.D.P.	N.P.D.	Archambault	Mélanie		3/6/04 15:45
24015	Châteauguay--Saint-Constant	Châteauguay--Saint-Constant	Conservative	conservateur	Turcot	Rosaire		1/6/04 20:20
24015	Châteauguay--Saint-Constant	Châteauguay--Saint-Constant	Bloc Québécois	Bloc Québécois	Poirier-Rivard	Denise		26/05/2004 20:20:00
24015	Châteauguay--Saint-Constant	Châteauguay--Saint-Constant	Green Party	Parti Vert	Gadoury	Marc-André		5/6/04 12:00
24016	Chicoutimi--Le Fjord	Chicoutimi--Le Fjord	Liberal	Libéral	Harvey	André		28/05/2004 18:00:00
24016	Chicoutimi--Le Fjord	Chicoutimi--Le Fjord	Conservative	conservateur	Boudreault	Alcide		2/6/04 17:30
24016	Chicoutimi--Le Fjord	Chicoutimi--Le Fjord	Bloc Québécois	Bloc Québécois	Bouchard	Robert		28/05/2004 15:00:00
24016	Chicoutimi--Le Fjord	Chicoutimi--Le Fjord	Green Party	Parti Vert	Tremblay	Paul		3/6/04 16:25
24016	Chicoutimi--Le Fjord	Chicoutimi--Le Fjord	N.D.P.	N.P.D.	Dubois	Éric		1/6/04 16:00
24017	Compton--Stanstead	Compton--Stanstead	Liberal	Libéral	Price	David		29/05/2004 09:16:00
24017	Compton--Stanstead	Compton--Stanstead	Conservative	conservateur	Caldwell	Gary 		7/6/04 10:43
24017	Compton--Stanstead	Compton--Stanstead	Bloc Québécois	Bloc Québécois	Bonsant	France		31/05/2004 19:55:00
24017	Compton--Stanstead	Compton--Stanstead	N.D.P.	N.P.D.	Baller	Martin		6/6/04 15:06
24017	Compton--Stanstead	Compton--Stanstead	Green Party	Parti Vert	Busque	Laurier		3/6/04 11:50
24018	Drummond	Drummond	Liberal	Libéral	Gougeon	Roger		28/05/2004 10:30:00
24018	Drummond	Drummond	N.D.P.	N.P.D.	Evans	Blake		31/05/2004 19:30:00
24018	Drummond	Drummond	Green Party	Parti Vert	Lacroix	Louis		2/6/04 11:00
24018	Drummond	Drummond	Conservative	conservateur	Boisvert	Lyne		3/6/04 15:00
24018	Drummond	Drummond	Bloc Québécois	Bloc Québécois	Picard	Pauline		25/05/2004 18:15:00
24019	Gaspésie--Îles-de-la-Madeleine	Gaspésie--Îles-de-la-Madeleine	Liberal	Libéral	Farrah	Georges		2/6/04 20:42
24019	Gaspésie--Îles-de-la-Madeleine	Gaspésie--Îles-de-la-Madeleine	N.D.P.	N.P.D.	Toone	Philip		3/6/04 13:35
24019	Gaspésie--Îles-de-la-Madeleine	Gaspésie--Îles-de-la-Madeleine	Bloc Québécois	Bloc Québécois	Blais	Raynald		1/6/04 17:45
